# Header: 
#   title: 92-U-235(N,F) thermal cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 92 
#   A: 235 
#   Nuclide: 92-U-235 
# Reaction: 
#   Type: N,F 
#   Incident energy       : 2.4000e-08 MeV - 2.6000e-08 MeV 
# Residual: 
#   Z:  
#   A:  
#   Nuclide: 
# Statistics:
#   Thermal Simple Mean       |  Simple Stdev        : 5.85922E+02  |   2.23972E+01 (N = 176)
#   Thermal Weighted Mean    +/- Weighted Error      : 5.85601E+02 +/-  7.65296E-01 (N = 176)
#   AV Simple Mean            |  Simple Stdev        : 5.84230E+02  |           NAN   (N = 1)
#   AV Weighted Mean         +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#   MXW Simple Mean           |  Simple Stdev        : 5.67000E+02  |   2.12132E+01   (N = 2)
#   MXW Weighted Mean        +/- Weighted Error      : 5.81647E+02 +/-  5.96461E+00   (N = 2)
#   RTE Simple Mean           |  Simple Stdev        : 9.35229E+01  |   2.33404E+00  (N = 39)
#   RTE Weighted Mean        +/- Weighted Error      : 9.34237E+01 +/-  2.33576E-01  (N = 39)
#   SPA Simple Mean           |  Simple Stdev        : 5.80000E+02  |           NAN   (N = 1)
#   SPA Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
21522-012-0         C.Wagemans              1979   2.5335E-08   0.0000E+00   6.0369E+02   9.0554E+00                
21522-012-0         C.Wagemans              1979   2.5278E-08   0.0000E+00   5.8648E+02   8.7972E+00                
21522-012-0         C.Wagemans              1979   2.5222E-08   0.0000E+00   5.9021E+02   8.8532E+00                
21522-012-0         C.Wagemans              1979   2.5165E-08   0.0000E+00   5.7814E+02   8.6721E+00                
21522-012-0         C.Wagemans              1979   2.5109E-08   0.0000E+00   5.8468E+02   8.7702E+00                
21522-012-0         C.Wagemans              1979   2.5053E-08   0.0000E+00   5.8567E+02   8.7850E+00                
21522-012-0         C.Wagemans              1979   2.4997E-08   0.0000E+00   5.9408E+02   8.9112E+00                
21522-012-0         C.Wagemans              1979   2.4941E-08   0.0000E+00   5.8508E+02   8.7762E+00                
21522-012-0         C.Wagemans              1979   2.4886E-08   0.0000E+00   6.0082E+02   9.0123E+00                
21522-012-0         C.Wagemans              1979   2.4830E-08   0.0000E+00   5.9520E+02   8.9280E+00                
21522-012-0         C.Wagemans              1979   2.4775E-08   0.0000E+00   5.8993E+02   8.8490E+00                
21522-012-0         C.Wagemans              1979   2.4720E-08   0.0000E+00   5.9245E+02   8.8868E+00                
21522-012-0         C.Wagemans              1979   2.4665E-08   0.0000E+00   5.9647E+02   8.9471E+00                
21522-012-0         C.Wagemans              1979   2.4611E-08   0.0000E+00   5.9612E+02   8.9418E+00                
21522-012-0         C.Wagemans              1979   2.4556E-08   0.0000E+00   5.8659E+02   8.7988E+00                
21522-012-0         C.Wagemans              1979   2.4502E-08   0.0000E+00   5.9158E+02   8.8737E+00                
21522-012-0         C.Wagemans              1979   2.4448E-08   0.0000E+00   5.9589E+02   8.9383E+00                
