# Header: 
#   title: 82-PB-0(N,TOT) thermal cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 82 
#   A: 0 
#   Nuclide: 82-PB-0 
# Reaction: 
#   Type: N,TOT 
#   Incident energy       : 2.4000e-08 MeV - 2.6000e-08 MeV 
# Residual: 
#   Z:  
#   A:  
#   Nuclide: 
# Statistics:
#   Thermal Simple Mean       |  Simple Stdev        : 8.25677E+00  |   2.57633E+00  (N = 84)
#   Thermal Weighted Mean    +/- Weighted Error      : 8.86297E+00 +/-  4.53125E-03  (N = 84)
#   MXW Simple Mean           |  Simple Stdev        : 1.05500E+01  |   2.75772E+00   (N = 2)
#   MXW Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 2)
#   SPA Simple Mean           |  Simple Stdev        : 1.14000E+01  |           NAN   (N = 1)
#   SPA Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
11361-009-0         W.W.Havens Jr           1952   2.4400E-08   0.0000E+00   7.9000E+00   0.0000E+00                
13761-010-0         J.A.Harvey              1977   2.5800E-08   0.0000E+00   6.7147E+00   8.9322E-02                
13761-010-0         J.A.Harvey              1977   2.5761E-08   0.0000E+00   6.7061E+00   9.0476E-02                
13761-010-0         J.A.Harvey              1977   2.5721E-08   0.0000E+00   6.7278E+00   9.1062E-02                
13761-010-0         J.A.Harvey              1977   2.5682E-08   0.0000E+00   6.9165E+00   9.2338E-02                
13761-010-0         J.A.Harvey              1977   2.5643E-08   0.0000E+00   6.7894E+00   9.1774E-02                
13761-010-0         J.A.Harvey              1977   2.5604E-08   0.0000E+00   6.4143E+00   8.8406E-02                
13761-010-0         J.A.Harvey              1977   2.5565E-08   0.0000E+00   6.1285E+00   8.5826E-02                
13761-010-0         J.A.Harvey              1977   2.5526E-08   0.0000E+00   5.9011E+00   8.5533E-02                
13761-010-0         J.A.Harvey              1977   2.5487E-08   0.0000E+00   5.6501E+00   8.2991E-02                
13761-010-0         J.A.Harvey              1977   2.5448E-08   0.0000E+00   5.6999E+00   8.2264E-02                
13761-010-0         J.A.Harvey              1977   2.5409E-08   0.0000E+00   5.5482E+00   8.2744E-02                
13761-010-0         J.A.Harvey              1977   2.5371E-08   0.0000E+00   5.4450E+00   8.1192E-02                
13761-010-0         J.A.Harvey              1977   2.5332E-08   0.0000E+00   5.2897E+00   7.9856E-02                
13761-010-0         J.A.Harvey              1977   2.5294E-08   0.0000E+00   5.2356E+00   7.9448E-02                
13761-010-0         J.A.Harvey              1977   2.5255E-08   0.0000E+00   5.2830E+00   7.9264E-02                
13761-010-0         J.A.Harvey              1977   2.5217E-08   0.0000E+00   5.4176E+00   8.0338E-02                
13761-010-0         J.A.Harvey              1977   2.5179E-08   0.0000E+00   5.1592E+00   7.8752E-02                
13761-010-0         J.A.Harvey              1977   2.5141E-08   0.0000E+00   5.2143E+00   7.8491E-02                
13761-010-0         J.A.Harvey              1977   2.5084E-08   0.0000E+00   5.0886E+00   5.5381E-02                
13761-010-0         J.A.Harvey              1977   2.5008E-08   0.0000E+00   4.9978E+00   5.5531E-02                
13761-010-0         J.A.Harvey              1977   2.4933E-08   0.0000E+00   4.9767E+00   5.5268E-02                
13761-010-0         J.A.Harvey              1977   2.4858E-08   0.0000E+00   4.9836E+00   5.5651E-02                
13761-010-0         J.A.Harvey              1977   2.4783E-08   0.0000E+00   4.9092E+00   5.4991E-02                
13761-010-0         J.A.Harvey              1977   2.4709E-08   0.0000E+00   4.9185E+00   5.5602E-02                
13761-010-0         J.A.Harvey              1977   2.4635E-08   0.0000E+00   4.9267E+00   5.5303E-02                
13761-010-0         J.A.Harvey              1977   2.4561E-08   0.0000E+00   4.8048E+00   5.5270E-02                
13761-010-0         J.A.Harvey              1977   2.4488E-08   0.0000E+00   4.9160E+00   5.5442E-02                
13761-010-0         J.A.Harvey              1977   2.4415E-08   0.0000E+00   4.9669E+00   5.5686E-02                
13761-010-0         J.A.Harvey              1977   2.4342E-08   0.0000E+00   4.8922E+00   5.6082E-02                
13761-010-0         J.A.Harvey              1977   2.4270E-08   0.0000E+00   4.8888E+00   5.5881E-02                
13761-010-0         J.A.Harvey              1977   2.4198E-08   0.0000E+00   4.8237E+00   5.5859E-02                
13761-010-0         J.A.Harvey              1977   2.4126E-08   0.0000E+00   4.8839E+00   5.6741E-02                
13761-010-0         J.A.Harvey              1977   2.4055E-08   0.0000E+00   4.7413E+00   5.6374E-02                
14141-002-0         G.Muhrer                2007   2.4016E-08   0.0000E+00   1.0922E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.4071E-08   0.0000E+00   1.0910E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.4127E-08   0.0000E+00   1.0897E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.4182E-08   0.0000E+00   1.0931E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.4238E-08   0.0000E+00   1.0916E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.4294E-08   0.0000E+00   1.0908E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.4350E-08   0.0000E+00   1.0919E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.4406E-08   0.0000E+00   1.0890E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.4463E-08   0.0000E+00   1.0899E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.4519E-08   0.0000E+00   1.0872E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.4575E-08   0.0000E+00   1.0867E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.4632E-08   0.0000E+00   1.0860E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.4689E-08   0.0000E+00   1.0839E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.4746E-08   0.0000E+00   1.0822E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.4803E-08   0.0000E+00   1.0799E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.4860E-08   0.0000E+00   1.0803E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.4917E-08   0.0000E+00   1.0828E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.4975E-08   0.0000E+00   1.0822E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.5032E-08   0.0000E+00   1.0779E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.5090E-08   0.0000E+00   1.0749E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.5148E-08   0.0000E+00   1.0737E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.5206E-08   0.0000E+00   1.0772E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.5264E-08   0.0000E+00   1.0774E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.5322E-08   0.0000E+00   1.0765E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.5381E-08   0.0000E+00   1.0764E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.5439E-08   0.0000E+00   1.0729E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.5498E-08   0.0000E+00   1.0748E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.5556E-08   0.0000E+00   1.0714E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.5615E-08   0.0000E+00   1.0752E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.5674E-08   0.0000E+00   1.0732E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.5734E-08   0.0000E+00   1.0745E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.5793E-08   0.0000E+00   1.0722E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.5852E-08   0.0000E+00   1.0704E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.5912E-08   0.0000E+00   1.0673E+01   0.0000E+00                
14141-002-0         G.Muhrer                2007   2.5972E-08   0.0000E+00   1.0663E+01   0.0000E+00                
12634-071-0         J.R.Dunning             1935   2.5000E-08   0.0000E+00   8.6000E+00   0.0000E+00     MXW        
22518-011-0         M.Goldhaber             1937   2.5300E-08   0.0000E+00   1.2500E+01   0.0000E+00     MXW        
23397-005-0         K.Hanatani              1945   2.5300E-08   0.0000E+00   1.1400E+01   2.0000E-01     SPA        
