# Header: 
#   title: 26-FE-0(N,TOT) thermal cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 26 
#   A: 0 
#   Nuclide: 26-FE-0 
# Reaction: 
#   Type: N,TOT 
#   Incident energy       : 2.4019e-08 MeV - 2.5983e-08 MeV 
# Residual: 
#   Z:  
#   A:  
#   Nuclide: 
# Statistics:
#   Thermal Simple Mean       |  Simple Stdev        : 1.18071E+01  |   6.17041E-01  (N = 81)
#   Thermal Weighted Mean    +/- Weighted Error      : 1.17810E+01 +/-  1.00315E-02  (N = 81)
#   MXW Simple Mean           |  Simple Stdev        : 1.28000E+01  |   1.13137E+00   (N = 2)
#   MXW Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 2)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
13733-005-0         J.A.Harvey              1982   2.5063E-08   7.5189E-11   1.2489E+01   1.2077E-01                
13733-005-0         J.A.Harvey              1982   2.5047E-08   7.5141E-11   1.2448E+01   1.2199E-01                
13733-005-0         J.A.Harvey              1982   2.5031E-08   7.5093E-11   1.2413E+01   1.2040E-01                
13733-005-0         J.A.Harvey              1982   2.5015E-08   7.5045E-11   1.2585E+01   1.2253E-01                
13733-005-0         J.A.Harvey              1982   2.5000E-08   7.5000E-11   1.2376E+01   1.1973E-01                
13733-005-0         J.A.Harvey              1982   2.4984E-08   7.4952E-11   1.2431E+01   1.2034E-01                
13733-005-0         J.A.Harvey              1982   2.4968E-08   7.4904E-11   1.2542E+01   1.2212E-01                
13733-005-0         J.A.Harvey              1982   2.4953E-08   7.4859E-11   1.2414E+01   1.2135E-01                
13733-005-0         J.A.Harvey              1982   2.4937E-08   7.4811E-11   1.2276E+01   1.1935E-01                
13733-005-0         J.A.Harvey              1982   2.4922E-08   7.4766E-11   1.2077E+01   1.1753E-01                
13733-005-0         J.A.Harvey              1982   2.4906E-08   7.4718E-11   1.2167E+01   1.1819E-01                
13733-005-0         J.A.Harvey              1982   2.4891E-08   7.4673E-11   1.2055E+01   1.1789E-01                
13733-005-0         J.A.Harvey              1982   2.4875E-08   7.4625E-11   1.1887E+01   1.1533E-01                
13733-005-0         J.A.Harvey              1982   2.4859E-08   7.4577E-11   1.1792E+01   1.1403E-01                
13733-005-0         J.A.Harvey              1982   2.4844E-08   7.4532E-11   1.1727E+01   1.1444E-01                
13733-005-0         J.A.Harvey              1982   2.4828E-08   7.4484E-11   1.1748E+01   1.1414E-01                
13733-005-0         J.A.Harvey              1982   2.4813E-08   7.4439E-11   1.1299E+01   1.1013E-01                
13733-005-0         J.A.Harvey              1982   2.4797E-08   7.4391E-11   1.1552E+01   1.1263E-01                
13733-005-0         J.A.Harvey              1982   2.4782E-08   7.4346E-11   1.1500E+01   1.1208E-01                
13733-005-0         J.A.Harvey              1982   2.4766E-08   7.4298E-11   1.1342E+01   1.1036E-01                
13733-005-0         J.A.Harvey              1982   2.4751E-08   7.4253E-11   1.1153E+01   1.0913E-01                
13733-005-0         J.A.Harvey              1982   2.4736E-08   7.4208E-11   1.1317E+01   1.1070E-01                
13733-005-0         J.A.Harvey              1982   2.4720E-08   7.4160E-11   1.1414E+01   1.1073E-01                
13733-005-0         J.A.Harvey              1982   2.4705E-08   7.4115E-11   1.1316E+01   1.1036E-01                
13733-005-0         J.A.Harvey              1982   2.4689E-08   7.4067E-11   1.1243E+01   1.1010E-01                
13733-005-0         J.A.Harvey              1982   2.4674E-08   7.4022E-11   1.1095E+01   1.0976E-01                
13733-005-0         J.A.Harvey              1982   2.4659E-08   7.3977E-11   1.1239E+01   1.1055E-01                
13733-005-0         J.A.Harvey              1982   2.4643E-08   7.3929E-11   1.1288E+01   1.1093E-01                
13733-005-0         J.A.Harvey              1982   2.4628E-08   7.3884E-11   1.1035E+01   1.0802E-01                
13733-005-0         J.A.Harvey              1982   2.4613E-08   7.3839E-11   1.1177E+01   1.0959E-01                
13733-005-0         J.A.Harvey              1982   2.4597E-08   7.3791E-11   1.1221E+01   1.0953E-01                
13733-005-0         J.A.Harvey              1982   2.4582E-08   7.3746E-11   1.0955E+01   1.0824E-01                
13733-005-0         J.A.Harvey              1982   2.4567E-08   7.3701E-11   1.1167E+01   1.1006E-01                
