# Header: 
#   title: 29-CU-0(N,TOT) thermal cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 29 
#   A: 0 
#   Nuclide: 29-CU-0 
# Reaction: 
#   Type: N,TOT 
#   Incident energy       : 2.4019e-08 MeV - 2.6000e-08 MeV 
# Residual: 
#   Z:  
#   A:  
#   Nuclide: 
# Statistics:
#   Thermal Simple Mean       |  Simple Stdev        : 6.92758E+00  |   2.53249E+00 (N = 116)
#   Thermal Weighted Mean    +/- Weighted Error      : 7.40645E+00 +/-  7.26412E-03 (N = 116)
#   MXW Simple Mean           |  Simple Stdev        : 9.70000E+00  |   3.11127E+00   (N = 2)
#   MXW Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 2)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
11795-002-0         W.W.Havens Jr           1948   2.4500E-08   0.0000E+00   1.0250E+01   0.0000E+00                
13733-006-0         J.A.Harvey              1982   2.5157E-08   7.5471E-11   5.5562E+00   8.7644E-02                
13733-006-0         J.A.Harvey              1982   2.5141E-08   7.5423E-11   5.8594E+00   9.6908E-02                
13733-006-0         J.A.Harvey              1982   2.5126E-08   7.5378E-11   5.7840E+00   9.4060E-02                
13733-006-0         J.A.Harvey              1982   2.5110E-08   7.5330E-11   5.9180E+00   9.6889E-02                
13733-006-0         J.A.Harvey              1982   2.5094E-08   7.5282E-11   5.7942E+00   9.3717E-02                
13733-006-0         J.A.Harvey              1982   2.5078E-08   7.5234E-11   5.9189E+00   9.7933E-02                
13733-006-0         J.A.Harvey              1982   2.5063E-08   7.5189E-11   5.9805E+00   1.0050E-01                
13733-006-0         J.A.Harvey              1982   2.5047E-08   7.5141E-11   5.6899E+00   9.2128E-02                
13733-006-0         J.A.Harvey              1982   2.5031E-08   7.5093E-11   5.8089E+00   9.4447E-02                
13733-006-0         J.A.Harvey              1982   2.5015E-08   7.5045E-11   5.7056E+00   9.1641E-02                
13733-006-0         J.A.Harvey              1982   2.5000E-08   7.5000E-11   5.5291E+00   8.9528E-02                
13733-006-0         J.A.Harvey              1982   2.4984E-08   7.4952E-11   5.6401E+00   9.1585E-02                
13733-006-0         J.A.Harvey              1982   2.4968E-08   7.4904E-11   5.5886E+00   8.9975E-02                
13733-006-0         J.A.Harvey              1982   2.4953E-08   7.4859E-11   5.5717E+00   9.0852E-02                
13733-006-0         J.A.Harvey              1982   2.4937E-08   7.4811E-11   5.5853E+00   9.0121E-02                
13733-006-0         J.A.Harvey              1982   2.4922E-08   7.4766E-11   5.6492E+00   9.0851E-02                
13733-006-0         J.A.Harvey              1982   2.4906E-08   7.4718E-11   5.5529E+00   8.7780E-02                
13733-006-0         J.A.Harvey              1982   2.4891E-08   7.4673E-11   5.4776E+00   8.7809E-02                
13733-006-0         J.A.Harvey              1982   2.4875E-08   7.4625E-11   5.8023E+00   9.6088E-02                
13733-006-0         J.A.Harvey              1982   2.4859E-08   7.4577E-11   5.6719E+00   9.2191E-02                
13733-006-0         J.A.Harvey              1982   2.4844E-08   7.4532E-11   5.6295E+00   9.1340E-02                
13733-006-0         J.A.Harvey              1982   2.4828E-08   7.4484E-11   5.4846E+00   8.6930E-02                
13733-006-0         J.A.Harvey              1982   2.4813E-08   7.4439E-11   5.6189E+00   9.3266E-02                
13733-006-0         J.A.Harvey              1982   2.4797E-08   7.4391E-11   5.5888E+00   9.1067E-02                
13733-006-0         J.A.Harvey              1982   2.4782E-08   7.4346E-11   5.4543E+00   8.6098E-02                
13733-006-0         J.A.Harvey              1982   2.4766E-08   7.4298E-11   5.4127E+00   8.6139E-02                
13733-006-0         J.A.Harvey              1982   2.4743E-08   7.4229E-11   5.5127E+00   6.2306E-02                
13733-006-0         J.A.Harvey              1982   2.4713E-08   7.4139E-11   5.5775E+00   6.2996E-02                
13733-006-0         J.A.Harvey              1982   2.4682E-08   7.4046E-11   5.4733E+00   6.2014E-02                
13733-006-0         J.A.Harvey              1982   2.4651E-08   7.3953E-11   5.5694E+00   6.3155E-02                
13733-006-0         J.A.Harvey              1982   2.4620E-08   7.3860E-11   5.4922E+00   6.2943E-02                
13733-006-0         J.A.Harvey              1982   2.4590E-08   7.3770E-11   5.5518E+00   6.3622E-02                
13733-006-0         J.A.Harvey              1982   2.4559E-08   7.3677E-11   5.5053E+00   6.2772E-02                
13733-006-0         J.A.Harvey              1982   2.4529E-08   7.3587E-11   5.4932E+00   6.2669E-02                
13733-006-0         J.A.Harvey              1982   2.4498E-08   7.3494E-11   5.6996E+00   6.6118E-02                
13733-006-0         J.A.Harvey              1982   2.4468E-08   7.3404E-11   5.6832E+00   6.6320E-02                
13733-006-0         J.A.Harvey              1982   2.4438E-08   7.3314E-11   5.6842E+00   6.6481E-02                
13733-006-0         J.A.Harvey              1982   2.4407E-08   7.3221E-11   5.7081E+00   6.6806E-02                
13733-006-0         J.A.Harvey              1982   2.4377E-08   7.3131E-11   5.7555E+00   6.7883E-02                
13733-006-0         J.A.Harvey              1982   2.4347E-08   7.3041E-11   5.9200E+00   7.1827E-02                
13733-006-0         J.A.Harvey              1982   2.4317E-08   7.2951E-11   5.9800E+00   7.3275E-02                
13733-006-0         J.A.Harvey              1982   2.4287E-08   7.2861E-11   6.1586E+00   7.8238E-02                
13733-006-0         J.A.Harvey              1982   2.4257E-08   7.2771E-11   6.2314E+00   7.9684E-02                
13733-006-0         J.A.Harvey              1982   2.4227E-08   7.2681E-11   6.2656E+00   8.0803E-02                
13733-006-0         J.A.Harvey              1982   2.4197E-08   7.2591E-11   6.2926E+00   8.2099E-02                
13733-006-0         J.A.Harvey              1982   2.4167E-08   7.2501E-11   6.2419E+00   8.0652E-02                
13733-006-0         J.A.Harvey              1982   2.4138E-08   7.2414E-11   6.5801E+00   8.7809E-02                
13733-006-0         J.A.Harvey              1982   2.4108E-08   7.2324E-11   6.4144E+00   8.5846E-02                
13733-006-0         J.A.Harvey              1982   2.4078E-08   7.2234E-11   6.4682E+00   8.5614E-02                
13733-006-0         J.A.Harvey              1982   2.4049E-08   7.2147E-11   6.3876E+00   8.4349E-02                
13733-006-0         J.A.Harvey              1982   2.4019E-08   7.2057E-11   6.2536E+00   8.1342E-02                
13733-007-0         J.A.Harvey              1982   2.4058E-08   7.2174E-11   5.1422E+00   0.0000E+00                
13733-007-0         J.A.Harvey              1982   2.4297E-08   7.2891E-11   5.1426E+00   0.0000E+00                
13733-007-0         J.A.Harvey              1982   2.4497E-08   7.3491E-11   5.1654E+00   0.0000E+00                
13733-007-0         J.A.Harvey              1982   2.4656E-08   7.3968E-11   5.2104E+00   0.0000E+00                
13733-007-0         J.A.Harvey              1982   2.4856E-08   7.4568E-11   5.2332E+00   0.0000E+00                
13733-007-0         J.A.Harvey              1982   2.4895E-08   7.4685E-11   5.3004E+00   0.0000E+00                
13733-007-0         J.A.Harvey              1982   2.5015E-08   7.5045E-11   5.3901E+00   0.0000E+00                
13733-007-0         J.A.Harvey              1982   2.5134E-08   7.5402E-11   5.4798E+00   0.0000E+00                
13733-007-0         J.A.Harvey              1982   2.5214E-08   7.5642E-11   5.4128E+00   0.0000E+00                
13733-007-0         J.A.Harvey              1982   2.5295E-08   7.5885E-11   5.3011E+00   0.0000E+00                
13733-007-0         J.A.Harvey              1982   2.5335E-08   7.6005E-11   5.2117E+00   0.0000E+00                
13733-007-0         J.A.Harvey              1982   2.5416E-08   7.6248E-11   5.1000E+00   0.0000E+00                
13733-007-0         J.A.Harvey              1982   2.5576E-08   7.6728E-11   5.1450E+00   0.0000E+00                
13733-007-0         J.A.Harvey              1982   2.5735E-08   7.7205E-11   5.1677E+00   0.0000E+00                
13733-007-0         J.A.Harvey              1982   2.5855E-08   7.7565E-11   5.1231E+00   0.0000E+00                
13733-008-0         J.A.Harvey              1982   2.6000E-08   7.8000E-11   1.2220E+01   6.0934E-02                
13733-008-0         J.A.Harvey              1982   2.5884E-08   7.7652E-11   1.2015E+01   6.1114E-02                
13733-008-0         J.A.Harvey              1982   2.5769E-08   7.7307E-11   1.2218E+01   6.1895E-02                
13733-008-0         J.A.Harvey              1982   2.5655E-08   7.6965E-11   1.2233E+01   6.2349E-02                
13733-008-0         J.A.Harvey              1982   2.5541E-08   7.6623E-11   1.2239E+01   6.2496E-02                
13733-008-0         J.A.Harvey              1982   2.5428E-08   7.6284E-11   1.2281E+01   6.3455E-02                
13733-008-0         J.A.Harvey              1982   2.5316E-08   7.5948E-11   1.2246E+01   6.3441E-02                
13733-008-0         J.A.Harvey              1982   2.5205E-08   7.5615E-11   1.2364E+01   6.4238E-02                
13733-008-0         J.A.Harvey              1982   2.5094E-08   7.5282E-11   1.2205E+01   6.4238E-02                
13733-008-0         J.A.Harvey              1982   2.4984E-08   7.4952E-11   1.2216E+01   6.4477E-02                
13733-008-0         J.A.Harvey              1982   2.4875E-08   7.4625E-11   1.2228E+01   6.4411E-02                
13733-008-0         J.A.Harvey              1982   2.4767E-08   7.4301E-11   1.2187E+01   6.4970E-02                
13733-008-0         J.A.Harvey              1982   2.4659E-08   7.3977E-11   1.2187E+01   6.5349E-02                
13733-008-0         J.A.Harvey              1982   2.4552E-08   7.3656E-11   1.2218E+01   6.5617E-02                
13733-008-0         J.A.Harvey              1982   2.4445E-08   7.3335E-11   1.2328E+01   6.6671E-02                
13733-008-0         J.A.Harvey              1982   2.4340E-08   7.3020E-11   1.2308E+01   6.6850E-02                
13733-008-0         J.A.Harvey              1982   2.4235E-08   7.2705E-11   1.2283E+01   6.7154E-02                
13733-008-0         J.A.Harvey              1982   2.4130E-08   7.2390E-11   1.2319E+01   6.7782E-02                
13733-008-0         J.A.Harvey              1982   2.4027E-08   7.2081E-11   1.2508E+01   6.8888E-02                
12634-027-0         J.R.Dunning             1935   2.5000E-08   0.0000E+00   7.5000E+00   0.0000E+00     MXW        
22518-007-0         M.Goldhaber             1937   2.5300E-08   0.0000E+00   1.1900E+01   0.0000E+00     MXW        
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
40152-003-0         A.V.Antonov             1978   2.5300E-08   0.0000E+00   3.7700E+00   1.6000E-01           DERIV
