# Header: 
#   title: 83-BI-209(N,TOT) thermal cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 83 
#   A: 209 
#   Nuclide: 83-BI-209 
# Reaction: 
#   Type: N,TOT 
#   Incident energy       : 2.4019e-08 MeV - 2.5999e-08 MeV 
# Residual: 
#   Z:  
#   A:  
#   Nuclide: 
# Statistics:
#   Thermal Simple Mean       |  Simple Stdev        : 6.45734E+00  |   1.93110E+00  (N = 63)
#   Thermal Weighted Mean    +/- Weighted Error      : 6.87110E+00 +/-  4.12592E-02  (N = 63)
#   MXW Simple Mean           |  Simple Stdev        : 8.55000E+00  |   4.94975E-01   (N = 2)
#   MXW Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 2)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
14689-008-0         H.L.Anderson            1946   2.5300E-08   0.0000E+00   6.6800E+00   0.0000E+00                
13761-011-0         J.A.Harvey              1977   2.5656E-08   0.0000E+00   3.8597E+00   4.7581E-01                
13761-011-0         J.A.Harvey              1977   2.5643E-08   0.0000E+00   4.8726E+00   4.4784E-01                
13761-011-0         J.A.Harvey              1977   2.5610E-08   0.0000E+00   5.5274E+00   2.3356E-01                
13761-011-0         J.A.Harvey              1977   2.5558E-08   0.0000E+00   5.2594E+00   2.3466E-01                
13761-011-0         J.A.Harvey              1977   2.5506E-08   0.0000E+00   6.0770E+00   2.4417E-01                
13761-011-0         J.A.Harvey              1977   2.5454E-08   0.0000E+00   6.2760E+00   2.5264E-01                
13761-011-0         J.A.Harvey              1977   2.5403E-08   0.0000E+00   6.4349E+00   2.5803E-01                
13761-011-0         J.A.Harvey              1977   2.5351E-08   0.0000E+00   6.6364E+00   2.6037E-01                
13761-011-0         J.A.Harvey              1977   2.5300E-08   0.0000E+00   7.3315E+00   2.6841E-01                
13761-011-0         J.A.Harvey              1977   2.5249E-08   0.0000E+00   7.7177E+00   2.7729E-01                
13761-011-0         J.A.Harvey              1977   2.5198E-08   0.0000E+00   7.6905E+00   2.7074E-01                
13761-011-0         J.A.Harvey              1977   2.5147E-08   0.0000E+00   7.9168E+00   2.7817E-01                
13761-011-0         J.A.Harvey              1977   2.5096E-08   0.0000E+00   8.4076E+00   2.8898E-01                
13761-011-0         J.A.Harvey              1977   2.5046E-08   0.0000E+00   8.8812E+00   2.9877E-01                
13761-011-0         J.A.Harvey              1977   2.4996E-08   0.0000E+00   9.4326E+00   3.2778E-01                
13761-011-0         J.A.Harvey              1977   2.4945E-08   0.0000E+00   1.0034E+01   3.2487E-01                
13761-011-0         J.A.Harvey              1977   2.4895E-08   0.0000E+00   1.0203E+01   3.3710E-01                
13761-011-0         J.A.Harvey              1977   2.4845E-08   0.0000E+00   9.9677E+00   3.3120E-01                
13761-011-0         J.A.Harvey              1977   2.4796E-08   0.0000E+00   1.1004E+01   3.5542E-01                
13761-011-0         J.A.Harvey              1977   2.4746E-08   0.0000E+00   1.0698E+01   3.5239E-01                
13761-011-0         J.A.Harvey              1977   2.4697E-08   0.0000E+00   9.7675E+00   3.2553E-01                
13761-011-0         J.A.Harvey              1977   2.4647E-08   0.0000E+00   9.2035E+00   3.1466E-01                
13761-011-0         J.A.Harvey              1977   2.4598E-08   0.0000E+00   8.7190E+00   3.0345E-01                
13761-011-0         J.A.Harvey              1977   2.4549E-08   0.0000E+00   8.7906E+00   2.9978E-01                
13761-011-0         J.A.Harvey              1977   2.4500E-08   0.0000E+00   8.5952E+00   2.8973E-01                
13761-011-0         J.A.Harvey              1977   2.4451E-08   0.0000E+00   7.7668E+00   2.8546E-01                
13761-011-0         J.A.Harvey              1977   2.4403E-08   0.0000E+00   7.7641E+00   2.8516E-01                
13761-011-0         J.A.Harvey              1977   2.4354E-08   0.0000E+00   7.5518E+00   2.7454E-01                
13761-011-0         J.A.Harvey              1977   2.4306E-08   0.0000E+00   6.6080E+00   2.6818E-01                
13761-011-0         J.A.Harvey              1977   2.4258E-08   0.0000E+00   6.0876E+00   2.5546E-01                
13761-011-0         J.A.Harvey              1977   2.4210E-08   0.0000E+00   6.1474E+00   2.6203E-01                
13761-011-0         J.A.Harvey              1977   2.4162E-08   0.0000E+00   6.0774E+00   2.5764E-01                
13761-011-0         J.A.Harvey              1977   2.4114E-08   0.0000E+00   5.7085E+00   2.5375E-01                
13761-011-0         J.A.Harvey              1977   2.4067E-08   0.0000E+00   6.1556E+00   2.5184E-01                
13761-011-0         J.A.Harvey              1977   2.4019E-08   0.0000E+00   5.8334E+00   2.5205E-01                
12634-072-0         J.R.Dunning             1935   2.5000E-08   0.0000E+00   8.2000E+00   0.0000E+00     MXW        
22518-012-0         M.Goldhaber             1937   2.5300E-08   0.0000E+00   8.9000E+00   0.0000E+00     MXW        
