# header: 
#   title: Bi209(n,tot) thermal cross section
#   source: Resonancetables
#   date: 2025-12-15
# target: 
#   Z: 83
#   A: 209
#   nuclide: Bi209
# reaction: 
#   type: (n,tot)
# observables: 
#   selected value [b]:  4.272800E+00
#   selected value uncertainty [b]:  4.321800E-01
#   selected value source: J.A.Harvey
#   number of values: 70
#   average value [b]:  6.732736E+00
#   relative standard deviation [%]:     29.737864
#   quantity: 
#     type: EXFOR
#     average value:  6.457341E+00
#     relative standard deviation [%]:     29.667166
#   datablock: 
#     columns: 10
#     entries: 63
##    Author                         Type           Year           Value         dValue        Reference        Ratio        Spectrum        Energy
##      []             []             []             []             [b]            [b]            []             []             []            [MeV]
#     average value:  8.549999E+00
#     relative standard deviation [%]:      4.093567
#   datablock: 
#     columns: 10
#     entries: 2
##    Author                         Type           Year           Value         dValue        Reference        Ratio        Spectrum        Energy
##      []             []             []             []             [b]            [b]            []             []             []            [MeV]
      J.R.Dunning             EXFOR                1935        8.200000E+00   0.000000E+00   12634-072-0        1.919116   MXW            2.500000E-08
      M.Goldhaber             EXFOR                1937        8.900000E+00   0.000000E+00   22518-012-0        2.082943   MXW            2.530000E-08
#   quantity: 
#     type: Nuclear data library
#     average value:  9.475805E+00
#     relative standard deviation [%]:      1.838022
#   datablock: 
#     columns: 11
#     entries: 5
##    Author                         Type           Year           Value         dValue        Reference        Ratio        Spectrum        Energy        G-factor
##      []             []             []             []             [b]            [b]            []             []             []            [MeV]           []
      cendl3.2                NDL                  2019        9.356410E+00   0.000000E+00                      2.189761                  2.530000E-08   1.127980E+00
      jendl5.0                NDL                  2021        9.423650E+00   0.000000E+00                      2.205498                  2.530000E-08   1.127980E+00
      endfb8.1                NDL                  2024        9.356410E+00   0.000000E+00                      2.189761                  2.530000E-08   1.127980E+00
      tendl.2025              NDL                  2025        9.818910E+00   0.000000E+00                      2.298004                  2.530000E-08   1.127930E+00
      jeff4.0                 NDL                  2025        9.423650E+00   0.000000E+00                      2.205498                  2.530000E-08   1.127980E+00
