# header: 
#   title: Np237(n,g) thermal cross section
#   source: Resonancetables
#   date: 2025-09-08
# target: 
#   Z: 93
#   A: 237
#   nuclide: Np237
# reaction: 
#   type: (n,g)
# observables: 
#   selected value [b]:  1.788000E+02
#   selected value uncertainty [b]:  2.900000E+00
#   selected value source: Mughabghab-2018
#   number of values: 645
#   average value [b]:  1.786306E+02
#   relative standard deviation [%]:      5.212610
#   quantity: 
#     type: Compilation
#     average value:  1.773500E+02
#     relative standard deviation [%]:      0.817595
#   datablock: 
#     columns: 10
#     entries: 2
##    Author                         Type           Year           Value         dValue        Reference        Ratio        Spectrum        Energy
##      []             []             []             []             [b]            [b]            []             []             []            [MeV]
      Sukhoruchkin            Compilation          2015        1.759000E+02   2.900000E+00                      0.983781                  2.530000E-08
      Mughabghab-2018         Compilation          2018        1.788000E+02   2.900000E+00                      1.000000                  2.530000E-08
#   quantity: 
#     type: Compilation spectrum-averaged
#     average value:  1.749500E+02
#     relative standard deviation [%]:      0.543011
#   datablock: 
#     columns: 10
#     entries: 2
##    Author                         Type           Year           Value         dValue        Reference        Ratio        Spectrum        Energy
##      []             []             []             []             [b]            [b]            []             []             []            [MeV]
      Mughabghab-2006         Compilation          2006        1.759000E+02   2.900000E+00                      0.983781   MXW            2.530000E-08
      Firestone-2022          Compilation          2022        1.740000E+02   3.000000E+00                      0.973154   MXW            2.530000E-08
#   quantity: 
#     type: EXFOR
#     average value:  1.789166E+02
#     relative standard deviation [%]:      4.973917
#   datablock: 
#     columns: 10
#     entries: 620
##    Author                         Type           Year           Value         dValue        Reference        Ratio        Spectrum        Energy
##      []             []             []             []             [b]            [b]            []             []             []            [MeV]
      M.Mizumoto              EXFOR                2007        1.651000E+02   1.100000E+01   23074-002-2        0.923378                  2.571000E-08
      M.Mizumoto              EXFOR                2007        1.630000E+02   1.100000E+01   23074-002-2        0.911633                  2.568000E-08
      M.Mizumoto              EXFOR                2007        1.773000E+02   1.110000E+01   23074-002-2        0.991611                  2.565000E-08
      M.Mizumoto              EXFOR                2007        1.705000E+02   1.110000E+01   23074-002-2        0.953579                  2.562000E-08
      M.Mizumoto              EXFOR                2007        1.581000E+02   1.100000E+01   23074-002-2        0.884228                  2.560000E-08
      M.Mizumoto              EXFOR                2007        1.658000E+02   1.110000E+01   23074-002-2        0.927293                  2.557000E-08
      M.Mizumoto              EXFOR                2007        1.669000E+02   1.110000E+01   23074-002-2        0.933445                  2.554000E-08
      M.Mizumoto              EXFOR                2007        1.748000E+02   1.120000E+01   23074-002-2        0.977629                  2.551000E-08
      M.Mizumoto              EXFOR                2007        1.663000E+02   1.120000E+01   23074-002-2        0.930089                  2.548000E-08
      M.Mizumoto              EXFOR                2007        1.713000E+02   1.130000E+01   23074-002-2        0.958054                  2.545000E-08
      M.Mizumoto              EXFOR                2007        1.660000E+02   1.120000E+01   23074-002-2        0.928412                  2.543000E-08
      M.Mizumoto              EXFOR                2007        1.741000E+02   1.130000E+01   23074-002-2        0.973714                  2.540000E-08
      M.Mizumoto              EXFOR                2007        1.760000E+02   1.130000E+01   23074-002-2        0.984340                  2.537000E-08
      M.Mizumoto              EXFOR                2007        1.613000E+02   1.120000E+01   23074-002-2        0.902125                  2.534000E-08
      M.Mizumoto              EXFOR                2007        1.876000E+02   1.140000E+01   23074-002-2        1.049217                  2.531000E-08
      M.Mizumoto              EXFOR                2007        1.627000E+02   1.120000E+01   23074-002-2        0.909955                  2.529000E-08
      M.Mizumoto              EXFOR                2007        1.749000E+02   1.140000E+01   23074-002-2        0.978188                  2.526000E-08
      M.Mizumoto              EXFOR                2007        1.741000E+02   1.140000E+01   23074-002-2        0.973714                  2.523000E-08
      M.Mizumoto              EXFOR                2007        1.737000E+02   1.140000E+01   23074-002-2        0.971476                  2.520000E-08
      M.Mizumoto              EXFOR                2007        1.740000E+02   1.150000E+01   23074-002-2        0.973154                  2.517000E-08
      M.Mizumoto              EXFOR                2007        1.672000E+02   1.140000E+01   23074-002-2        0.935123                  2.515000E-08
      M.Mizumoto              EXFOR                2007        1.642000E+02   1.140000E+01   23074-002-2        0.918344                  2.512000E-08
      M.Mizumoto              EXFOR                2007        1.866000E+02   1.160000E+01   23074-002-2        1.043624                  2.509000E-08
      M.Mizumoto              EXFOR                2007        1.900000E+02   1.170000E+01   23074-002-2        1.062640                  2.506000E-08
      M.Mizumoto              EXFOR                2007        1.815000E+02   1.160000E+01   23074-002-2        1.015101                  2.504000E-08
      M.Mizumoto              EXFOR                2007        1.954000E+02   1.170000E+01   23074-002-2        1.092841                  2.501000E-08
      M.Mizumoto              EXFOR                2007        1.860000E+02   1.170000E+01   23074-002-2        1.040268                  2.498000E-08
      M.Mizumoto              EXFOR                2007        1.885000E+02   1.160000E+01   23074-002-2        1.054251                  2.495000E-08
      M.Mizumoto              EXFOR                2007        1.774000E+02   1.160000E+01   23074-002-2        0.992170                  2.493000E-08
      M.Mizumoto              EXFOR                2007        2.024000E+02   1.180000E+01   23074-002-2        1.131991                  2.490000E-08
      M.Mizumoto              EXFOR                2007        1.882000E+02   1.170000E+01   23074-002-2        1.052573                  2.487000E-08
      M.Mizumoto              EXFOR                2007        2.023000E+02   1.180000E+01   23074-002-2        1.131432                  2.485000E-08
      M.Mizumoto              EXFOR                2007        1.901000E+02   1.170000E+01   23074-002-2        1.063199                  2.482000E-08
      M.Mizumoto              EXFOR                2007        1.760000E+02   1.160000E+01   23074-002-2        0.984340                  2.479000E-08
      M.Mizumoto              EXFOR                2007        1.951000E+02   1.190000E+01   23074-002-2        1.091163                  2.476000E-08
      M.Mizumoto              EXFOR                2007        1.861000E+02   1.180000E+01   23074-002-2        1.040828                  2.474000E-08
      M.Mizumoto              EXFOR                2007        2.013000E+02   1.190000E+01   23074-002-2        1.125839                  2.471000E-08
      M.Mizumoto              EXFOR                2007        1.857000E+02   1.180000E+01   23074-002-2        1.038591                  2.468000E-08
      M.Mizumoto              EXFOR                2007        1.857000E+02   1.180000E+01   23074-002-2        1.038591                  2.466000E-08
      M.Mizumoto              EXFOR                2007        1.740000E+02   1.170000E+01   23074-002-2        0.973154                  2.463000E-08
      M.Mizumoto              EXFOR                2007        1.728000E+02   1.160000E+01   23074-002-2        0.966443                  2.460000E-08
      M.Mizumoto              EXFOR                2007        1.854000E+02   1.170000E+01   23074-002-2        1.036913                  2.458000E-08
      M.Mizumoto              EXFOR                2007        2.101000E+02   1.190000E+01   23074-002-2        1.175056                  2.455000E-08
      M.Mizumoto              EXFOR                2007        1.752000E+02   1.160000E+01   23074-002-2        0.979866                  2.452000E-08
      M.Mizumoto              EXFOR                2007        1.713000E+02   1.160000E+01   23074-002-2        0.958054                  2.450000E-08
      M.Mizumoto              EXFOR                2007        1.872000E+02   1.180000E+01   23074-002-2        1.046980                  2.447000E-08
      M.Mizumoto              EXFOR                2007        1.948000E+02   1.180000E+01   23074-002-2        1.089485                  2.444000E-08
      M.Mizumoto              EXFOR                2007        2.062000E+02   1.190000E+01   23074-002-2        1.153244                  2.442000E-08
      M.Mizumoto              EXFOR                2007        1.742000E+02   1.170000E+01   23074-002-2        0.974273                  2.439000E-08
      M.Mizumoto              EXFOR                2007        1.875000E+02   1.180000E+01   23074-002-2        1.048658                  2.436000E-08
      M.Mizumoto              EXFOR                2007        1.874000E+02   1.180000E+01   23074-002-2        1.048098                  2.434000E-08
      M.Mizumoto              EXFOR                2007        1.893000E+02   1.190000E+01   23074-002-2        1.058725                  2.431000E-08
      M.Mizumoto              EXFOR                2007        1.759000E+02   1.170000E+01   23074-002-2        0.983781                  2.429000E-08
      M.Mizumoto              EXFOR                2007        1.775000E+02   1.170000E+01   23074-002-2        0.992729                  2.426000E-08
      M.Mizumoto              EXFOR                2007        1.945000E+02   1.190000E+01   23074-002-2        1.087808                  2.423000E-08
      M.Mizumoto              EXFOR                2007        1.727000E+02   1.170000E+01   23074-002-2        0.965884                  2.421000E-08
      M.Mizumoto              EXFOR                2007        1.785000E+02   1.180000E+01   23074-002-2        0.998322                  2.418000E-08
      M.Mizumoto              EXFOR                2007        1.652000E+02   1.170000E+01   23074-002-2        0.923937                  2.415000E-08
      M.Mizumoto              EXFOR                2007        1.808000E+02   1.180000E+01   23074-002-2        1.011186                  2.413000E-08
      M.Mizumoto              EXFOR                2007        1.919000E+02   1.200000E+01   23074-002-2        1.073266                  2.410000E-08
      M.Mizumoto              EXFOR                2007        1.718000E+02   1.180000E+01   23074-002-2        0.960850                  2.408000E-08
      M.Mizumoto              EXFOR                2007        1.971000E+02   1.220000E+01   23074-002-2        1.102349                  2.405000E-08
      M.Mizumoto              EXFOR                2007        1.908000E+02   1.210000E+01   23074-002-2        1.067114                  2.402000E-08
      M.Mizumoto              EXFOR                2007        1.919000E+02   1.220000E+01   23074-002-2        1.073266                  2.400000E-08
      E.I.Esch                EXFOR                2008        1.760000E+02   5.000000E+00   14032-002-0        0.984340                  2.545000E-08
      A.Letourneau            EXFOR                2009        1.800000E+02   5.000000E+00   22941-032-0        1.006711                  2.530000E-08
      C.Genreith              EXFOR                2013        1.704000E+02   7.400000E+00   31726-007-0        0.953020                  2.530000E-08
      C.Genreith              EXFOR                2013        1.500000E+02   1.800000E+01   31726-005-0        0.838926                  2.530000E-08
      K.Hirose                EXFOR                2013        1.740000E+02   0.000000E+00   23193-008-0        0.973154                  2.570000E-08
      K.Hirose                EXFOR                2013        1.740000E+02   0.000000E+00   23193-008-0        0.973154                  2.520000E-08
      K.Hirose                EXFOR                2013        1.770000E+02   0.000000E+00   23193-008-0        0.989933                  2.470000E-08
      K.Hirose                EXFOR                2013        1.820000E+02   0.000000E+00   23193-008-0        1.017897                  2.420000E-08
