# Header: 
#   title: 71-LU-176(N,G) thermal cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 71 
#   A: 176 
#   Nuclide: 71-LU-176 
# Reaction: 
#   Type: N,G 
#   Incident energy       : 2.4010e-08 MeV - 2.5984e-08 MeV 
# Residual: 
#   Z: 71 
#   A: 177 
#   Nuclide: 71-LU-177
# Statistics:
#   Thermal Simple Mean       |  Simple Stdev        : 1.88421E+03  |   1.23766E+02  (N = 88)
#   Thermal Weighted Mean    +/- Weighted Error      : 1.90735E+03 +/-  1.24540E+01  (N = 88)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
#   Thermal Simple Mean       |  Simple Stdev        : 1.00000E+00  |           NAN   (N = 1)
#   Thermal Weighted Mean    +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#   MXW Simple Mean           |  Simple Stdev        : 4.55000E+00  |   3.46482E+00   (N = 2)
#   MXW Weighted Mean        +/- Weighted Error      : 2.59000E+00 +/-  6.64078E-01   (N = 2)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
20096-002-0         M.Jorgensen             1962   2.5300E-08   0.0000E+00   1.0000E+00   0.0000E+00                
12088-002-2         D.R.Nethaway            1967   2.5300E-08   0.0000E+00   7.0000E+00   2.1000E+00     MXW        
20625-026-0         E.M.Gryntakis           1976   2.5300E-08   0.0000E+00   2.1000E+00   7.0000E-01     MXW        
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
V1002-352-2         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   2.8000E+00   7.0000E-01           RECOM
# Header: 
#   title: 71-LU-176(N,G) thermal cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 71 
#   A: 176 
#   Nuclide: 71-LU-176 
# Reaction: 
#   Type: N,G 
#   Incident energy       : 2.5300e-08 MeV 
# Residual: 
#   Z: 71 
#   A: 177 
#   Nuclide: 71-LU-177-G
# Statistics:
#   MXW Simple Mean           |  Simple Stdev        : 3.64000E+03  |           NAN   (N = 1)
#   MXW Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
11447-110-0         L.Seren                 1947   2.5300E-08   0.0000E+00   3.6400E+03   7.2800E+02     MXW        
# Header: 
#   title: 71-LU-176(N,G) thermal cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 71 
#   A: 176 
#   Nuclide: 71-LU-176 
# Reaction: 
#   Type: N,G 
#   Incident energy       : 2.5300e-08 MeV 
# Residual: 
#   Z: 71 
#   A: 177 
#   Nuclide: 71-LU-177-L
# Statistics:
#   SPA Simple Mean           |  Simple Stdev        : 3.15000E+02  |           NAN   (N = 1)
#   SPA Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
31818-002-0         C.Heiser                1965   2.5300E-08   0.0000E+00   3.1500E+02   6.0000E+01     SPA        
