# Header: 
#   title: 93-NP-237(N,G) thermal cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 93 
#   A: 237 
#   Nuclide: 93-NP-237 
# Reaction: 
#   Type: N,G 
#   Incident energy       : 2.4000e-08 MeV - 2.6000e-08 MeV 
# Residual: 
#   Z: 93 
#   A: 238 
#   Nuclide: 93-NP-238
# Statistics:
#   Thermal Simple Mean       |  Simple Stdev        : 1.78917E+02  |   8.90635E+00 (N = 620)
#   Thermal Weighted Mean    +/- Weighted Error      : 1.78252E+02 +/-  2.72272E-01 (N = 620)
#   AV Simple Mean            |  Simple Stdev        : 1.78933E+02  |   5.47753E+00   (N = 3)
#   AV Weighted Mean         +/- Weighted Error      : 1.76994E+02 +/-  3.95178E+00   (N = 3)
#   MXW Simple Mean           |  Simple Stdev        : 1.71600E+02  |   5.36656E+00   (N = 5)
#   MXW Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 5)
#   MXW/FCT Simple Mean       |  Simple Stdev        : 1.50000E+02  |           NAN   (N = 1)
#   MXW/FCT Weighted Mean    +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#   RAW Simple Mean           |  Simple Stdev        : 1.80112E+02  |   1.34318E+01  (N = 75)
#   RAW Weighted Mean        +/- Weighted Error      : 1.78076E+02 +/-  1.29089E+00  (N = 75)
#   SPA Simple Mean           |  Simple Stdev        : 1.67300E+02  |   2.65321E+01   (N = 7)
#   SPA Weighted Mean        +/- Weighted Error      : 1.56449E+02 +/-  1.92565E+00   (N = 7)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc[MeV]  dEn_inc      Data[eV]     dData         sf8    sf9
14565-002-0         E.J.Hennelly            1968   2.5300E-08   0.0000E+00   1.6900E+02   0.0000E+00                
23074-002-2         M.Mizumoto              2007   2.4790E-08   0.0000E+00   1.7600E+02   1.1600E+01                
23074-002-2         M.Mizumoto              2007   2.4820E-08   0.0000E+00   1.9010E+02   1.1700E+01                
23074-002-2         M.Mizumoto              2007   2.4850E-08   0.0000E+00   2.0230E+02   1.1800E+01                
23074-002-2         M.Mizumoto              2007   2.4870E-08   0.0000E+00   1.8820E+02   1.1700E+01                
23074-002-2         M.Mizumoto              2007   2.4900E-08   0.0000E+00   2.0240E+02   1.1800E+01                
23074-002-2         M.Mizumoto              2007   2.4930E-08   0.0000E+00   1.7740E+02   1.1600E+01                
23074-002-2         M.Mizumoto              2007   2.4950E-08   0.0000E+00   1.8850E+02   1.1600E+01                
23074-002-2         M.Mizumoto              2007   2.4980E-08   0.0000E+00   1.8600E+02   1.1700E+01                
23074-002-2         M.Mizumoto              2007   2.5010E-08   0.0000E+00   1.9540E+02   1.1700E+01                
23074-002-2         M.Mizumoto              2007   2.5040E-08   0.0000E+00   1.8150E+02   1.1600E+01                
23074-002-2         M.Mizumoto              2007   2.5060E-08   0.0000E+00   1.9000E+02   1.1700E+01                
23074-002-2         M.Mizumoto              2007   2.5090E-08   0.0000E+00   1.8660E+02   1.1600E+01                
23074-002-2         M.Mizumoto              2007   2.5120E-08   0.0000E+00   1.6420E+02   1.1400E+01                
23074-002-2         M.Mizumoto              2007   2.5150E-08   0.0000E+00   1.6720E+02   1.1400E+01                
23074-002-2         M.Mizumoto              2007   2.5170E-08   0.0000E+00   1.7400E+02   1.1500E+01                
23074-002-2         M.Mizumoto              2007   2.5200E-08   0.0000E+00   1.7370E+02   1.1400E+01                
23074-002-2         M.Mizumoto              2007   2.5230E-08   0.0000E+00   1.7410E+02   1.1400E+01                
23074-002-2         M.Mizumoto              2007   2.5260E-08   0.0000E+00   1.7490E+02   1.1400E+01                
23074-002-2         M.Mizumoto              2007   2.5290E-08   0.0000E+00   1.6270E+02   1.1200E+01                
23074-002-2         M.Mizumoto              2007   2.5310E-08   0.0000E+00   1.8760E+02   1.1400E+01                
23074-002-2         M.Mizumoto              2007   2.5340E-08   0.0000E+00   1.6130E+02   1.1200E+01                
23074-002-2         M.Mizumoto              2007   2.5370E-08   0.0000E+00   1.7600E+02   1.1300E+01                
23074-002-2         M.Mizumoto              2007   2.5400E-08   0.0000E+00   1.7410E+02   1.1300E+01                
23074-002-2         M.Mizumoto              2007   2.5430E-08   0.0000E+00   1.6600E+02   1.1200E+01                
23074-002-2         M.Mizumoto              2007   2.5450E-08   0.0000E+00   1.7130E+02   1.1300E+01                
23074-002-2         M.Mizumoto              2007   2.5480E-08   0.0000E+00   1.6630E+02   1.1200E+01                
23074-002-2         M.Mizumoto              2007   2.5510E-08   0.0000E+00   1.7480E+02   1.1200E+01                
23074-002-2         M.Mizumoto              2007   2.5540E-08   0.0000E+00   1.6690E+02   1.1100E+01                
23074-002-2         M.Mizumoto              2007   2.5570E-08   0.0000E+00   1.6580E+02   1.1100E+01                
23074-002-2         M.Mizumoto              2007   2.5600E-08   0.0000E+00   1.5810E+02   1.1000E+01                
23074-002-2         M.Mizumoto              2007   2.5620E-08   0.0000E+00   1.7050E+02   1.1100E+01                
23074-002-2         M.Mizumoto              2007   2.5650E-08   0.0000E+00   1.7730E+02   1.1100E+01                
23074-002-2         M.Mizumoto              2007   2.5680E-08   0.0000E+00   1.6300E+02   1.1000E+01                
23074-002-2         M.Mizumoto              2007   2.5710E-08   0.0000E+00   1.6510E+02   1.1000E+01                
23074-002-2         M.Mizumoto              2007   2.5740E-08   0.0000E+00   1.8150E+02   1.1100E+01                
23074-002-2         M.Mizumoto              2007   2.5770E-08   0.0000E+00   1.8410E+02   1.1100E+01                
23074-002-2         M.Mizumoto              2007   2.5800E-08   0.0000E+00   1.5880E+02   1.0800E+01                
23074-002-2         M.Mizumoto              2007   2.5820E-08   0.0000E+00   1.7670E+02   1.0900E+01                
23074-002-2         M.Mizumoto              2007   2.5850E-08   0.0000E+00   1.9280E+02   1.1100E+01                
23074-002-2         M.Mizumoto              2007   2.5880E-08   0.0000E+00   2.1120E+02   1.1200E+01                
23074-002-2         M.Mizumoto              2007   2.5910E-08   0.0000E+00   1.8910E+02   1.1000E+01                
23074-002-2         M.Mizumoto              2007   2.5940E-08   0.0000E+00   1.9480E+02   1.1000E+01                
23074-002-2         M.Mizumoto              2007   2.5970E-08   0.0000E+00   1.7690E+02   1.0800E+01                
23074-002-2         M.Mizumoto              2007   2.6000E-08   0.0000E+00   1.5260E+02   1.0600E+01                
14032-002-0         E.I.Esch                2008   2.5450E-08   0.0000E+00   1.7600E+02   5.0000E+00                
22941-032-0         A.Letourneau            2009   2.5300E-08   0.0000E+00   1.8000E+02   5.0000E+00                
23193-008-0         K.Hirose                2013   2.4200E-08   0.0000E+00   1.8200E+02   0.0000E+00                
23193-008-0         K.Hirose                2013   2.4700E-08   0.0000E+00   1.7700E+02   0.0000E+00                
23193-008-0         K.Hirose                2013   2.5200E-08   0.0000E+00   1.7400E+02   0.0000E+00                
23193-008-0         K.Hirose                2013   2.5700E-08   0.0000E+00   1.7400E+02   0.0000E+00                
31726-005-0         C.Genreith              2013   2.5300E-08   0.0000E+00   1.5000E+02   1.8000E+01                
31726-007-0         C.Genreith              2013   2.5300E-08   0.0000E+00   1.7040E+02   7.4000E+00                
23535-002-0         S.Nakamura              2019   2.5300E-08   0.0000E+00   1.8690E+02   6.2000E+00                
23535-005-0         S.Nakamura              2019   2.5300E-08   0.0000E+00   1.7590E+02   6.4000E+00                
23745-002-0         G.Rovira                2020   2.5997E-08   0.0000E+00   1.6913E+02   6.6359E+00                
23745-002-0         G.Rovira                2020   2.5993E-08   0.0000E+00   1.7233E+02   6.9754E+00                
23745-002-0         G.Rovira                2020   2.5989E-08   0.0000E+00   1.7954E+02   6.8730E+00                
23745-002-0         G.Rovira                2020   2.5985E-08   0.0000E+00   1.7339E+02   6.7700E+00                
23745-002-0         G.Rovira                2020   2.5980E-08   0.0000E+00   1.7466E+02   6.5380E+00                
23745-002-0         G.Rovira                2020   2.5976E-08   0.0000E+00   1.7914E+02   7.0084E+00                
23745-002-0         G.Rovira                2020   2.5972E-08   0.0000E+00   1.7790E+02   6.8397E+00                
23745-002-0         G.Rovira                2020   2.5968E-08   0.0000E+00   1.8539E+02   7.3705E+00                
23745-002-0         G.Rovira                2020   2.5964E-08   0.0000E+00   1.6465E+02   6.8986E+00                
23745-002-0         G.Rovira                2020   2.5960E-08   0.0000E+00   1.7672E+02   7.0205E+00                
23745-002-0         G.Rovira                2020   2.5956E-08   0.0000E+00   1.7697E+02   6.8193E+00                
23745-002-0         G.Rovira                2020   2.5951E-08   0.0000E+00   1.7793E+02   7.0808E+00                
23745-002-0         G.Rovira                2020   2.5947E-08   0.0000E+00   1.8492E+02   7.1215E+00                
23745-002-0         G.Rovira                2020   2.5943E-08   0.0000E+00   1.8770E+02   7.3298E+00                
23745-002-0         G.Rovira                2020   2.5939E-08   0.0000E+00   1.7226E+02   6.6599E+00                
23745-002-0         G.Rovira                2020   2.5935E-08   0.0000E+00   1.8910E+02   7.2077E+00                
23745-002-0         G.Rovira                2020   2.5931E-08   0.0000E+00   1.8431E+02   6.8303E+00                
23745-002-0         G.Rovira                2020   2.5926E-08   0.0000E+00   1.6471E+02   6.6874E+00                
23745-002-0         G.Rovira                2020   2.5922E-08   0.0000E+00   1.7875E+02   6.6809E+00                
23745-002-0         G.Rovira                2020   2.5918E-08   0.0000E+00   1.6605E+02   6.2363E+00                
23745-002-0         G.Rovira                2020   2.5914E-08   0.0000E+00   1.8380E+02   7.0446E+00                
23745-002-0         G.Rovira                2020   2.5910E-08   0.0000E+00   1.7428E+02   6.9246E+00                
23745-002-0         G.Rovira                2020   2.5906E-08   0.0000E+00   1.6833E+02   6.8224E+00                
23745-002-0         G.Rovira                2020   2.5902E-08   0.0000E+00   1.8074E+02   7.2158E+00                
23745-002-0         G.Rovira                2020   2.5898E-08   0.0000E+00   1.7166E+02   7.0124E+00                
23745-002-0         G.Rovira                2020   2.5893E-08   0.0000E+00   1.7732E+02   6.9768E+00                
23745-002-0         G.Rovira                2020   2.5889E-08   0.0000E+00   1.8901E+02   7.4382E+00                
23745-002-0         G.Rovira                2020   2.5885E-08   0.0000E+00   1.7988E+02   7.0117E+00                
23745-002-0         G.Rovira                2020   2.5881E-08   0.0000E+00   1.6753E+02   6.9339E+00                
23745-002-0         G.Rovira                2020   2.5877E-08   0.0000E+00   1.7490E+02   7.0404E+00                
23745-002-0         G.Rovira                2020   2.5873E-08   0.0000E+00   1.7446E+02   6.6964E+00                
23745-002-0         G.Rovira                2020   2.5869E-08   0.0000E+00   1.8234E+02   7.2400E+00                
23745-002-0         G.Rovira                2020   2.5865E-08   0.0000E+00   1.7428E+02   6.8169E+00                
23745-002-0         G.Rovira                2020   2.5861E-08   0.0000E+00   1.6874E+02   6.6898E+00                
23745-002-0         G.Rovira                2020   2.5856E-08   0.0000E+00   1.6595E+02   6.4630E+00                
23745-002-0         G.Rovira                2020   2.5852E-08   0.0000E+00   1.7278E+02   6.6565E+00                
23745-002-0         G.Rovira                2020   2.5848E-08   0.0000E+00   1.8084E+02   6.9414E+00                
23745-002-0         G.Rovira                2020   2.5844E-08   0.0000E+00   1.9351E+02   7.5363E+00                
23745-002-0         G.Rovira                2020   2.5840E-08   0.0000E+00   1.7114E+02   6.5404E+00                
23745-002-0         G.Rovira                2020   2.5836E-08   0.0000E+00   1.7486E+02   6.9206E+00                
23745-002-0         G.Rovira                2020   2.5832E-08   0.0000E+00   1.6736E+02   6.9432E+00                
23745-002-0         G.Rovira                2020   2.5828E-08   0.0000E+00   1.7726E+02   6.8063E+00                
23745-002-0         G.Rovira                2020   2.5823E-08   0.0000E+00   1.6922E+02   7.0831E+00                
23745-002-0         G.Rovira                2020   2.5819E-08   0.0000E+00   1.8492E+02   7.2179E+00                
23745-002-0         G.Rovira                2020   2.5815E-08   0.0000E+00   1.7343E+02   7.0476E+00                
23745-002-0         G.Rovira                2020   2.5811E-08   0.0000E+00   1.8263E+02   7.0626E+00                
23745-002-0         G.Rovira                2020   2.5807E-08   0.0000E+00   1.8031E+02   7.0589E+00                
23745-002-0         G.Rovira                2020   2.5803E-08   0.0000E+00   1.6302E+02   6.6019E+00                
23745-002-0         G.Rovira                2020   2.5799E-08   0.0000E+00   1.7551E+02   6.9235E+00                
23745-002-0         G.Rovira                2020   2.5795E-08   0.0000E+00   1.9016E+02   7.1502E+00                
23745-002-0         G.Rovira                2020   2.5791E-08   0.0000E+00   1.8421E+02   7.3593E+00                
23745-002-0         G.Rovira                2020   2.5787E-08   0.0000E+00   1.5625E+02   6.5631E+00                
23745-002-0         G.Rovira                2020   2.5782E-08   0.0000E+00   1.7397E+02   6.7894E+00                
23745-002-0         G.Rovira                2020   2.5778E-08   0.0000E+00   1.7326E+02   6.9377E+00                
23745-002-0         G.Rovira                2020   2.5774E-08   0.0000E+00   1.7421E+02   6.9274E+00                
23745-002-0         G.Rovira                2020   2.5770E-08   0.0000E+00   1.6646E+02   6.3949E+00                
23745-002-0         G.Rovira                2020   2.5766E-08   0.0000E+00   1.7561E+02   7.1216E+00                
23745-002-0         G.Rovira                2020   2.5762E-08   0.0000E+00   1.7405E+02   6.9602E+00                
23745-002-0         G.Rovira                2020   2.5758E-08   0.0000E+00   1.9072E+02   7.3920E+00                
23745-002-0         G.Rovira                2020   2.5754E-08   0.0000E+00   1.8572E+02   7.1662E+00                
23745-002-0         G.Rovira                2020   2.5750E-08   0.0000E+00   1.8161E+02   6.9970E+00                
23745-002-0         G.Rovira                2020   2.5745E-08   0.0000E+00   1.8035E+02   6.8253E+00                
23745-002-0         G.Rovira                2020   2.5741E-08   0.0000E+00   1.7576E+02   7.1404E+00                
23745-002-0         G.Rovira                2020   2.5737E-08   0.0000E+00   1.7542E+02   7.0143E+00                
23745-002-0         G.Rovira                2020   2.5733E-08   0.0000E+00   1.7875E+02   7.2116E+00                
23745-002-0         G.Rovira                2020   2.5729E-08   0.0000E+00   1.7067E+02   6.8658E+00                
23745-002-0         G.Rovira                2020   2.5725E-08   0.0000E+00   1.7825E+02   6.8342E+00                
23745-002-0         G.Rovira                2020   2.5721E-08   0.0000E+00   1.6537E+02   6.6801E+00                
23745-002-0         G.Rovira                2020   2.5717E-08   0.0000E+00   1.7894E+02   6.8276E+00                
23745-002-0         G.Rovira                2020   2.5713E-08   0.0000E+00   1.7199E+02   6.8025E+00                
23745-002-0         G.Rovira                2020   2.5709E-08   0.0000E+00   1.7581E+02   6.9393E+00                
23745-002-0         G.Rovira                2020   2.5705E-08   0.0000E+00   1.8750E+02   7.1420E+00                
23745-002-0         G.Rovira                2020   2.5701E-08   0.0000E+00   1.6168E+02   6.2253E+00                
23745-002-0         G.Rovira                2020   2.5697E-08   0.0000E+00   1.6936E+02   6.6455E+00                
23745-002-0         G.Rovira                2020   2.5692E-08   0.0000E+00   1.7731E+02   6.7601E+00                
23745-002-0         G.Rovira                2020   2.5688E-08   0.0000E+00   1.6981E+02   6.9872E+00                
23745-002-0         G.Rovira                2020   2.5684E-08   0.0000E+00   1.7415E+02   6.9574E+00                
23745-002-0         G.Rovira                2020   2.5680E-08   0.0000E+00   1.7980E+02   6.7037E+00                
23745-002-0         G.Rovira                2020   2.5676E-08   0.0000E+00   1.8370E+02   6.9638E+00                
23745-002-0         G.Rovira                2020   2.5672E-08   0.0000E+00   1.8300E+02   6.9592E+00                
23745-002-0         G.Rovira                2020   2.5668E-08   0.0000E+00   1.9179E+02   7.1736E+00                
23745-002-0         G.Rovira                2020   2.5664E-08   0.0000E+00   1.8754E+02   7.3482E+00                
23745-002-0         G.Rovira                2020   2.5660E-08   0.0000E+00   1.6827E+02   6.5239E+00                
23745-002-0         G.Rovira                2020   2.5656E-08   0.0000E+00   1.7541E+02   6.6534E+00                
23745-002-0         G.Rovira                2020   2.5652E-08   0.0000E+00   1.7160E+02   6.4924E+00                
23745-002-0         G.Rovira                2020   2.5648E-08   0.0000E+00   1.7615E+02   6.7816E+00                
23745-002-0         G.Rovira                2020   2.5644E-08   0.0000E+00   1.8031E+02   6.6419E+00                
23745-002-0         G.Rovira                2020   2.5639E-08   0.0000E+00   1.6700E+02   6.3723E+00                
23745-002-0         G.Rovira                2020   2.5635E-08   0.0000E+00   1.6840E+02   6.7619E+00                
23745-002-0         G.Rovira                2020   2.5631E-08   0.0000E+00   1.7719E+02   6.6106E+00                
23745-002-0         G.Rovira                2020   2.5627E-08   0.0000E+00   1.7323E+02   6.4924E+00                
23745-002-0         G.Rovira                2020   2.5623E-08   0.0000E+00   1.8140E+02   7.1634E+00                
23745-002-0         G.Rovira                2020   2.5619E-08   0.0000E+00   1.7922E+02   6.7576E+00                
23745-002-0         G.Rovira                2020   2.5615E-08   0.0000E+00   1.9280E+02   7.2482E+00                
23745-002-0         G.Rovira                2020   2.5611E-08   0.0000E+00   1.7459E+02   6.7988E+00                
23745-002-0         G.Rovira                2020   2.5607E-08   0.0000E+00   1.7831E+02   6.8964E+00                
23745-002-0         G.Rovira                2020   2.5603E-08   0.0000E+00   1.8182E+02   6.9649E+00                
23745-002-0         G.Rovira                2020   2.5599E-08   0.0000E+00   1.8117E+02   7.1084E+00                
23745-002-0         G.Rovira                2020   2.5595E-08   0.0000E+00   1.8934E+02   7.1697E+00                
23745-002-0         G.Rovira                2020   2.5591E-08   0.0000E+00   1.7971E+02   6.7245E+00                
23745-002-0         G.Rovira                2020   2.5587E-08   0.0000E+00   1.7172E+02   6.5346E+00                
23745-002-0         G.Rovira                2020   2.5583E-08   0.0000E+00   1.7250E+02   6.8088E+00                
23745-002-0         G.Rovira                2020   2.5579E-08   0.0000E+00   1.7824E+02   6.6757E+00                
23745-002-0         G.Rovira                2020   2.5574E-08   0.0000E+00   1.6637E+02   6.3696E+00                
23745-002-0         G.Rovira                2020   2.5570E-08   0.0000E+00   1.6918E+02   6.4578E+00                
23745-002-0         G.Rovira                2020   2.5566E-08   0.0000E+00   1.6564E+02   6.4948E+00                
23745-002-0         G.Rovira                2020   2.5562E-08   0.0000E+00   1.7502E+02   6.8025E+00                
23745-002-0         G.Rovira                2020   2.5558E-08   0.0000E+00   1.6383E+02   6.0355E+00                
23745-002-0         G.Rovira                2020   2.5554E-08   0.0000E+00   1.7283E+02   6.8670E+00                
23745-002-0         G.Rovira                2020   2.5550E-08   0.0000E+00   1.8635E+02   6.9421E+00                
23745-002-0         G.Rovira                2020   2.5546E-08   0.0000E+00   1.7426E+02   6.8654E+00                
23745-002-0         G.Rovira                2020   2.5542E-08   0.0000E+00   1.7509E+02   6.7627E+00                
23745-002-0         G.Rovira                2020   2.5538E-08   0.0000E+00   1.8573E+02   6.8970E+00                
23745-002-0         G.Rovira                2020   2.5534E-08   0.0000E+00   1.8330E+02   6.7084E+00                
23745-002-0         G.Rovira                2020   2.5530E-08   0.0000E+00   1.7092E+02   6.7236E+00                
23745-002-0         G.Rovira                2020   2.5526E-08   0.0000E+00   1.8361E+02   6.9182E+00                
23745-002-0         G.Rovira                2020   2.5522E-08   0.0000E+00   1.8016E+02   6.6771E+00                
23745-002-0         G.Rovira                2020   2.5518E-08   0.0000E+00   1.7567E+02   6.8042E+00                
23745-002-0         G.Rovira                2020   2.5514E-08   0.0000E+00   1.7403E+02   6.3637E+00                
23745-002-0         G.Rovira                2020   2.5510E-08   0.0000E+00   1.6827E+02   6.4060E+00                
23745-002-0         G.Rovira                2020   2.5506E-08   0.0000E+00   1.8048E+02   6.6257E+00                
23745-002-0         G.Rovira                2020   2.5502E-08   0.0000E+00   1.7171E+02   6.7095E+00                
23745-002-0         G.Rovira                2020   2.5498E-08   0.0000E+00   1.7091E+02   6.4131E+00                
23745-002-0         G.Rovira                2020   2.5494E-08   0.0000E+00   1.7816E+02   6.5353E+00                
23745-002-0         G.Rovira                2020   2.5490E-08   0.0000E+00   1.8272E+02   6.8401E+00                
23745-002-0         G.Rovira                2020   2.5486E-08   0.0000E+00   1.7807E+02   6.5008E+00                
23745-002-0         G.Rovira                2020   2.5482E-08   0.0000E+00   1.9013E+02   6.9097E+00                
23745-002-0         G.Rovira                2020   2.5478E-08   0.0000E+00   1.7694E+02   6.6896E+00                
23745-002-0         G.Rovira                2020   2.5473E-08   0.0000E+00   1.8399E+02   6.8698E+00                
23745-002-0         G.Rovira                2020   2.5469E-08   0.0000E+00   1.7556E+02   6.5597E+00                
23745-002-0         G.Rovira                2020   2.5465E-08   0.0000E+00   1.7454E+02   6.4115E+00                
23745-002-0         G.Rovira                2020   2.5461E-08   0.0000E+00   1.9067E+02   6.8960E+00                
23745-002-0         G.Rovira                2020   2.5457E-08   0.0000E+00   1.7615E+02   6.3851E+00                
23745-002-0         G.Rovira                2020   2.5453E-08   0.0000E+00   1.8095E+02   6.7016E+00                
23745-002-0         G.Rovira                2020   2.5449E-08   0.0000E+00   1.5384E+02   5.9407E+00                
23745-002-0         G.Rovira                2020   2.5445E-08   0.0000E+00   1.7379E+02   6.3165E+00                
23745-002-0         G.Rovira                2020   2.5441E-08   0.0000E+00   1.6361E+02   6.3235E+00                
23745-002-0         G.Rovira                2020   2.5437E-08   0.0000E+00   1.8034E+02   6.5369E+00                
23745-002-0         G.Rovira                2020   2.5433E-08   0.0000E+00   1.7463E+02   6.5273E+00                
23745-002-0         G.Rovira                2020   2.5429E-08   0.0000E+00   1.7084E+02   6.3268E+00                
23745-002-0         G.Rovira                2020   2.5425E-08   0.0000E+00   1.8594E+02   6.5387E+00                
23745-002-0         G.Rovira                2020   2.5421E-08   0.0000E+00   1.9504E+02   6.8467E+00                
23745-002-0         G.Rovira                2020   2.5417E-08   0.0000E+00   1.8133E+02   6.7732E+00                
23745-002-0         G.Rovira                2020   2.5413E-08   0.0000E+00   1.7524E+02   6.4176E+00                
