# header: 
#   title: (n,a) thermal cross section for EXFOR
#   source: Resonancetables
#   date: 2025-12-18
# reaction: 
#   type: (n,a)
# quantity: 
#   type: thermal cross section
# datablock: 
#   columns: 10
#   entries: 83
##       Z              A            Liso           Value         dValue          Ratio        Reference       Author                        Nuclide
##      []             []             []             [b]            [b]            []             [%]            [%]            [%]            [%]
        63            153              0        1.000000E-06   0.000000E+00         1.0000   20564-004-0       A.Emsallem                    Eu153
        64            155              0        8.200000E-05   7.000000E-06         1.0000   12139-002-0       K.Beg                         Gd155
        70            168              0        1.000000E-04   0.000000E+00         1.0000   20564-005-0       A.Emsallem                    Yb168
        70            170              0        1.000000E-05   0.000000E+00         1.0000   20564-006-0       A.Emsallem                    Yb170
        70            171              0        1.500000E-06   0.000000E+00         1.0000   20564-007-0       A.Emsallem                    Yb171
        70            172              0        1.000000E-06   0.000000E+00         1.0000   20564-008-0       A.Emsallem                    Yb172
        70            173              0        1.000000E-06   0.000000E+00         1.0000   20564-009-0       A.Emsallem                    Yb173
        70            176              0        1.000000E-06   0.000000E+00         1.0000   20564-010-0       A.Emsallem                    Yb176
        90            232              0        1.000000E-04   0.000000E+00         1.0000   21724-007-0       C.Wagemans                    Th232
        92            233              0        3.000000E-04   0.000000E+00         1.5000   21724-003-0       C.Wagemans                    U233
        92            233              0        2.000000E-04   0.000000E+00         1.0000   22005-024-0       C.Wagemans                    U233
        92            235              0        1.000000E-04   0.000000E+00         0.7143   21724-004-0       C.Wagemans                    U235
        92            235              0        1.400000E-04   0.000000E+00         1.0000   22005-025-0       C.Wagemans                    U235
        92            238              0        9.200000E-06   6.000000E-08         7.0769   20588-002-0       M.Asghar                      U238
        92            238              0        1.500000E-06   0.000000E+00         1.1538   21724-005-0       C.Wagemans                    U238
        94            239              0        3.700000E-04   0.000000E+00         1.0000   21724-008-0       C.Wagemans                    Pu239
