# header:
#   title: gamgam resonance data
#   source: Resonancetables
#   date: 2025-07-13
# reaction:
#   type: gamgam
# quantity:
#   type: resonance data
# datablock:
#   columns: 11
#   entries: 291
##       Z              A            Liso           Value         dValue        Reference   Rel. dev. comp. Rel. dev. NDL  Rel. dev. all  #Experiments      Nuclide
##      []             []             []            [eV]           [eV]            []             [%]            [%]            [%]            []             []
        62            149              0        6.200000E-02   4.000000E-03  RIPL-3                0.00           0.00           8.11           3           Sm149 
        62            150              0        6.000000E-02   5.000000E-03  RIPL-3               16.06           0.00          16.37           0           Sm150 
        62            151              0        9.500001E-02   5.000000E-03  RIPL-3                3.20           0.00           3.50           0           Sm151 
        62            152              0        6.000000E-02   5.000000E-03  RIPL-3                4.53           0.00           4.22           0           Sm152 
        62            154              0        7.900000E-02   1.300000E-02  RIPL-3                8.42           0.00           7.78           0           Sm154 
        63            151              0        9.200001E-02   1.200000E-02  RIPL-3                0.67           0.00           3.44           2           Eu151 
        63            152              0        1.600000E-01   2.500000E-02  RIPL-3                0.00           0.00           0.70           1           Eu152 
        63            153              0        9.500001E-02   1.200000E-02  RIPL-3                1.00           0.00           6.16           2           Eu153 
        63            154              0        1.350000E-01   2.500000E-02  RIPL-3                3.21           0.00           3.36           0           Eu154 
        63            155              0        9.600000E-02   1.800000E-02  RIPL-3                0.99           0.00           0.92           0           Eu155 
        64            152              0        5.400000E-02   5.000000E-03  RIPL-3               11.47           0.00          11.05           1           Gd152 
        64            153              0        6.500001E-02   8.000000E-03  RIPL-3                0.00           0.00           0.00           0           Gd153 
        64            154              0        7.500000E-02   6.000000E-03  RIPL-3                7.05           0.00          13.27           2           Gd154 
        64            155              0        1.080000E-01   1.000000E-02  RIPL-3                3.82           0.00           4.85           5           Gd155 
        64            156              0        8.800001E-02   1.200000E-02  RIPL-3                5.11           0.00           5.23           1           Gd156 
        64            157              0        9.700000E-02   1.000000E-02  RIPL-3                3.78           0.00           7.96           4           Gd157 
        64            158              0        1.050000E-01   1.000000E-02  RIPL-3                5.93           0.00           6.87           1           Gd158 
        64            160              0        1.110000E-01   1.500000E-02  RIPL-3                9.66           0.00           9.49           1           Gd160 
        65            159              0        9.700000E-02   7.000000E-03  RIPL-3                0.00           0.00          18.65           4           Tb159 
        65            160              0        1.070000E-01   1.100000E-02  Mughabghab-2018       0.00           0.00          16.97           1           Tb160 
        65            161              0        1.070000E-01   1.100000E-02  Mughabghab-2018       0.00           0.00          24.54           0           Tb161 
        66            160              0        1.080000E-01   1.000000E-02  RIPL-3                0.88           0.00           0.77           0           Dy160 
        66            161              0        1.120000E-01   1.000000E-02  RIPL-3                2.14           0.00           2.18           1           Dy161 
        66            162              0        1.120000E-01   2.000000E-02  RIPL-3                0.00           0.00          14.03           1           Dy162 
        66            163              0        1.130000E-01   1.300000E-02  RIPL-3                3.42           0.00           2.82           1           Dy163 
        66            164              0        1.140000E-01   1.400000E-02  RIPL-3                6.49           0.00          23.04           1           Dy164 
        67            165              0        7.700001E-02   5.000000E-03  RIPL-3                4.16           0.00          28.75           3           Ho165 
        68            164              0        9.600000E-02   5.000000E-03  Mughabghab-2018       0.00           0.00           9.80           0           Er164 
        68            166              0        9.200001E-02   8.000000E-03  RIPL-3                1.03           0.00           3.04           2           Er166 
        68            167              0        8.800001E-02   5.000000E-03  RIPL-3                1.88           0.00           1.90           2           Er167 
        68            168              0        8.500000E-02   1.000000E-02  RIPL-3                0.55           0.00           6.87           2           Er168 
        68            170              0        7.320000E-02   4.700000E-03  Mughabghab-2018       0.00           0.00           7.23           1           Er170 
        69            169              0        9.700000E-02   1.000000E-02  RIPL-3               10.36           0.00          11.43           3           Tm169 
        69            170              0        1.220000E-01   2.000000E-02  RIPL-3                0.00           0.00           7.39           0           Tm170 
        69            171              0        8.000000E-02   9.000000E-03  Guerrero              0.00           0.00           0.00           1           Tm171 
        70            168              0        6.500001E-02   1.500000E-02  RIPL-3               17.12           0.00          17.06           0           Yb168 
        70            169              0        8.000001E-02   2.500000E-02  RIPL-3                0.00           0.00           2.37           0           Yb169 
        70            170              0        7.000000E-02   1.000000E-02  RIPL-3                3.45           0.00           8.42           0           Yb170 
        70            171              0        7.500000E-02   5.000000E-03  RIPL-3                1.62           0.00           4.29           1           Yb171 
        70            172              0        7.700001E-02   1.000000E-02  RIPL-3                3.27           0.00           3.68           0           Yb172 
        70            173              0        7.400000E-02   5.000000E-03  RIPL-3                0.00           0.00           1.59           1           Yb173 
        70            174              0        8.300000E-02   1.200000E-02  RIPL-3                4.16           0.00           4.07           0           Yb174 
        70            176              0        6.000000E-02   2.000000E-02  RIPL-2                0.41           0.00           3.23           0           Yb176 
        71              0              0        1.200000E-01   0.000000E+00  Gibbons               0.00           0.00           0.00           1           Lu000 
        71            173              0        7.400000E-02   6.000000E-02  Mughabghab-2018       0.00           0.00           0.56           1           Lu173 
        71            175              0        7.700001E-02   5.000000E-03  RIPL-3                0.00           0.00           2.87           0           Lu175 
        71            176              0        6.300000E-02   1.400000E-02  RIPL-3               17.68           0.00          18.45           0           Lu176 
        72            174              0        6.590000E-02   6.000000E-03  Mughabghab-2018       0.00           0.00          13.71           0           Hf174 
        72            176              0        6.000000E-02   1.000000E-02  RIPL-3                0.00           0.00         172.31           1           Hf176 
        72            177              0        6.600000E-02   5.000000E-03  RIPL-3                3.89           0.00           4.07           0           Hf177 
        72            178              0        5.400000E-02   5.000000E-03  RIPL-3                0.44           0.00           4.25           0           Hf178 
        72            179              0        6.600000E-02   6.000000E-03  RIPL-3               10.51           0.00          11.20           0           Hf179 
        72            180              0        5.000000E-02   5.000000E-03  RIPL-3                4.47           0.00           4.53           0           Hf180 
        73              0              0        6.500000E-02   0.000000E+00  Gibbons               0.00           0.00           0.00           1           Ta000 
        73            180              0        5.100000E-02   3.000000E-03  RIPL-3                0.00           0.00          40.41           0           Ta180 
        73            180              1        5.100000E-02   2.000000E-03  Mughabghab-2018       0.00           0.00           0.60           0           Ta180m
        73            181              0        5.700000E-02   3.000000E-03  RIPL-3                4.17           0.00           6.13           1           Ta181 
        73            182              0        6.700000E-02   3.000000E-03  RIPL-3                0.00           0.00           0.00           0           Ta182 
        74            180              0        7.000000E-02   1.500000E-02  RIPL-3                0.00           0.00          24.74           0           W180  
        74            182              0        5.500000E-02   5.000000E-03  RIPL-3                8.12           0.00           8.65           0           W182  
        74            183              0        7.700001E-02   1.000000E-02  RIPL-3                2.49           0.00           1.97           1           W183  
        74            184              0        5.700000E-02   7.000000E-03  RIPL-3               12.02           0.00          10.83           0           W184  
        74            186              0        5.100000E-02   7.000000E-03  RIPL-3                8.68           0.00           7.53           0           W186  
        75            185              0        5.700000E-02   7.000000E-03  RIPL-3                0.83           0.00           1.18           0           Re185 
        75            187              0        6.100000E-02   9.000001E-03  RIPL-3                3.16           0.00           2.81           0           Re187 
        76            186              0        7.400000E-02   1.000000E-02  RIPL-3               19.79           0.00          21.97           1           Os186 
        76            187              0        8.800001E-02   8.000000E-03  RIPL-3               15.38           0.00          15.49           2           Os187 
        76            188              0        9.300000E-02   6.000000E-03  RIPL-3               26.74           0.00          32.72           1           Os188 
        76            189              0        9.200001E-02   5.000000E-03  RIPL-3                7.34           0.00           6.45           0           Os189 
        76            190              0        5.200000E-02   5.000000E-03  Mughabghab-2018       0.00           0.00           2.43           0           Os190 
        77            191              0        8.100000E-02   1.100000E-02  RIPL-3                0.58           0.00           2.99           1           Ir191 
        77            192              0        1.000000E-01   1.000000E-02  RIPL-3                2.89           0.00           2.60           0           Ir192 
        77            193              0        9.300000E-02   1.000000E-02  RIPL-3                0.51           0.00           4.33           1           Ir193 
        78            192              0        6.000000E-02   2.000000E-03  RIPL-3               13.22           0.00          17.33           1           Pt192 
        78            194              0        7.200000E-02   1.300000E-02  RIPL-3                1.32           0.00          18.56           1           Pt194 
        78            195              0        1.200000E-01   2.000000E-02  RIPL-3                1.17           0.00           1.23           0           Pt195 
        78            196              0        1.200000E-01   2.000000E-02  RIPL-3               15.94           0.00          23.23           1           Pt196 
        79            197              0        1.280000E-01   6.000000E-03  RIPL-3                1.68           0.00          11.02           5           Au197 
        80            198              0        1.200000E-01   2.000000E-02  RIPL-3               12.73           0.00          11.59           1           Hg198 
        80            199              0        2.950000E-01   2.000000E-02  RIPL-3                0.97           0.00           7.45           0           Hg199 
        80            200              0        4.500000E-01   1.000000E-01  RIPL-3                9.76           0.00           7.97           0           Hg200 
        80            201              0        4.000000E-01   1.000000E-01  RIPL-3                1.65           0.00           1.70           0           Hg201 
        80            202              0        7.220000E-01   4.500000E-02  Mughabghab-2018       0.00           0.00           4.81           0           Hg202 
        80            204              0        1.980000E+00   3.600000E-01  Mughabghab-2018       0.00           0.00          11.78           0           Hg204 
        81            203              0        6.900001E-01   7.000000E-02  RIPL-3                4.22           0.00           3.66           0           Tl203 
        81            205              0        1.100000E+00   2.000000E-01  RIPL-3               15.29           0.00          18.05           0           Tl205 
        82            204              0        7.300000E-01   7.000000E-02  RIPL-3                2.42           0.00          14.10           1           Pb204 
        82            206              0        2.100000E+00   2.000000E-01  RIPL-3                0.94           0.00          14.29           1           Pb206 
        82            207              0        6.000000E-01   1.500000E-01  Allen                 0.00           0.00           0.00           1           Pb207 
        82            208              0        2.200000E+00   7.000000E-01  Allen                 0.00           0.00           0.00           1           Pb208 
        83            209              0        5.700000E-02   1.000000E-02  RIPL-3               16.23           0.00          14.11           0           Bi209 
        88            226              0        2.600000E-02   3.000000E-03  RIPL-3                0.36           0.00           2.70           1           Ra226 
        90            228              0        3.600000E-02   2.000000E-03  RIPL-3                0.00           0.00          20.56           0           Th228 
        90            229              0        4.300000E-02   4.000000E-03  RIPL-3                0.00           0.00           5.57           0           Th229 
        90            230              0        2.600000E-02   2.000000E-03  RIPL-3                0.00           0.00           1.81           0           Th230 
        90            232              0        2.400000E-02   2.000000E-03  RIPL-3                1.36           0.00           8.01           7           Th232 
        91            231              0        4.000000E-02   1.000000E-03  RIPL-3                0.35           0.00           0.41           0           Pa231 
        91            233              0        4.700000E-02   5.000000E-03  RIPL-3                0.50           0.00           8.16           0           Pa233 
        92            233              0        4.000000E-02   5.000000E-03  RIPL-3                0.00           0.00           1.03           0           U233  
        92            234              0        2.600000E-02   4.000000E-03  RIPL-3               17.06           0.00          15.91           2           U234  
